aX,aY,aZ,gX,gY,gZ
0.903,0.436,-0.169,6.897,0.549,46.570
0.902,0.443,-0.172,11.902,-3.113,49.500
0.912,0.440,-0.182,15.442,-7.019,51.880
0.919,0.439,-0.206,16.357,-10.925,53.772
0.926,0.441,-0.224,15.625,-14.160,54.688
0.929,0.463,-0.235,15.381,-16.541,53.833
0.926,0.481,-0.226,15.259,-18.127,52.185
0.942,0.475,-0.219,13.611,-19.775,49.683
0.922,0.497,-0.183,12.573,-20.874,45.532
0.919,0.504,-0.172,12.817,-23.254,43.274
0.906,0.515,-0.176,12.634,-24.353,40.710
0.892,0.514,-0.186,14.343,-23.132,37.781
0.882,0.515,-0.193,17.517,-20.203,35.278
0.884,0.513,-0.197,21.545,-16.479,32.776
0.892,0.515,-0.195,24.475,-12.756,30.212
0.905,0.513,-0.182,26.489,-9.827,27.893
0.917,0.509,-0.173,27.893,-8.606,25.452
0.929,0.518,-0.160,28.259,-8.911,23.193
0.924,0.526,-0.150,29.846,-11.108,20.020
0.913,0.541,-0.146,32.837,-14.465,16.296
0.883,0.552,-0.141,35.522,-17.334,12.024
0.851,0.566,-0.132,37.354,-19.531,7.629
0.837,0.573,-0.121,37.598,-20.813,3.418
0.836,0.573,-0.112,37.659,-21.545,-0.977
0.850,0.574,-0.118,37.659,-22.949,-5.554
0.869,0.580,-0.140,37.048,-24.048,-10.620
0.876,0.601,-0.165,36.865,-24.658,-15.808
0.880,0.619,-0.179,39.429,-24.231,-20.935
0.883,0.631,-0.174,41.565,-22.766,-25.452
0.872,0.632,-0.147,43.091,-20.874,-30.151
0.850,0.619,-0.099,43.518,-19.958,-34.058
0.829,0.606,-0.059,45.227,-20.508,-37.109

0.782,0.936,-0.477,-17.151,56.641,20.569
0.791,0.862,-0.660,2.441,50.354,33.081
0.748,0.895,-0.701,15.076,52.124,43.030
0.628,1.003,-0.598,15.625,62.195,52.490
0.577,1.201,-0.499,9.216,76.965,62.012
0.692,1.373,-0.398,8.057,90.698,69.458
0.953,1.356,-0.169,16.174,101.746,75.684
1.305,1.083,0.102,33.386,103.088,77.087
1.567,0.527,0.270,53.711,85.876,68.970
1.579,0.056,0.278,67.688,57.739,50.171
1.362,-0.046,0.078,64.880,30.762,33.142
1.163,-0.062,-0.056,42.053,13.184,30.701
1.116,0.007,-0.141,8.850,-2.625,31.860
1.118,0.217,-0.259,-19.836,-16.724,29.175
1.120,0.396,-0.346,-28.442,-22.949,28.442
1.063,0.563,-0.321,-19.714,-24.292,27.283
0.942,0.728,-0.250,-11.230,-25.696,22.705
0.857,0.824,-0.243,-15.686,-28.687,19.165
0.778,0.830,-0.292,-25.757,-32.471,20.081
0.646,0.798,-0.347,-29.663,-37.170,24.536
0.466,0.789,-0.396,-26.855,-39.001,30.029
0.301,0.841,-0.492,-20.447,-34.363,33.752
0.279,0.949,-0.585,-9.399,-18.616,34.668
0.417,0.968,-0.613,10.864,3.723,37.231
0.599,0.905,-0.458,28.564,24.353,42.664
0.768,0.740,-0.210,30.457,34.729,45.288
0.844,0.497,-0.052,20.630,29.663,44.434
0.790,0.365,-0.080,9.705,16.541,41.809
0.787,0.363,-0.186,3.540,8.179,39.551
0.941,0.357,-0.187,3.479,8.972,34.546
1.117,0.327,-0.104,6.958,9.155,26.550
1.151,0.399,0.009,9.155,2.136,18.372
